"","SITE","SUBSITE","TRTMT","PLOT","YEAR","SPP","STATUS","TISSUE","X","Y","Hit.Order","Abundance","Height..cm.","X.1","X.2","unique_coords"
"19","QHI","HE","CTL",1,1999,"SALPUL","LIVE","LEAF",1,7,NA,2,6.5,"","","17"
"44","QHI","HE","CTL",1,1999,"SALPUL","LIVE","STEM",2,7,NA,1,0,"","","27"
"202","QHI","HE","CTL",1,1999,"SALPUL","LIVE","LEAF",10,1,NA,2,7,"","","101"
"230","QHI","HE","CTL",2,1999,"SALPUL","LIVE","LEAF",1,2,NA,3,8,"","","12"
"232","QHI","HE","CTL",2,1999,"SALPUL","STANDINGDEAD","STEM",1,3,NA,1,0,"","","13"
"241","QHI","HE","CTL",2,1999,"SALPUL","LIVE","LEAF",1,7,NA,1,5,"","","17"
"250","QHI","HE","CTL",2,1999,"SALPUL","LIVE","LEAF",2,1,NA,1,5.5,"","","21"
"261","QHI","HE","CTL",2,1999,"SALPUL","LIVE","LEAF",2,7,NA,2,7.5,"","","27"
"266","QHI","HE","CTL",2,1999,"SALPUL","LIVE","LEAF",2,9,NA,4,9.5,"","","29"
"283","QHI","HE","CTL",2,1999,"SALPUL","LIVE","LEAF",3,9,NA,1,2,"","","39"
"286","QHI","HE","CTL",2,1999,"SALPUL","LIVE","LEAF",4,1,NA,1,8,"","","41"
"303","QHI","HE","CTL",2,1999,"SALPUL","LIVE","LEAF",4,9,NA,1,5.5,"","","49"
"322","QHI","HE","CTL",2,1999,"SALPUL","LIVE","LEAF",5,9,NA,2,5.5,"","","59"
"341","QHI","HE","CTL",2,1999,"SALPUL","LIVE","LEAF",6,9,NA,2,2.5,"","","69"
"365","QHI","HE","CTL",2,1999,"SALPUL","LIVE","STEM",8,1,NA,1,0,"","","81"
"411","QHI","HE","CTL",2,1999,"SALPUL","LIVE","LEAF",9,9,NA,1,6.5,"","","99"
"437","QHI","HE","CTL",3,1999,"SALPUL","LIVE","LEAF",1,1,NA,1,5.5,"","","11"
"439","QHI","HE","CTL",3,1999,"SALPUL","LIVE","LEAF",1,2,NA,1,8,"","","12"
"449","QHI","HE","CTL",3,1999,"SALPUL","LIVE","LEAF",1,6,NA,1,6,"","","16"
"459","QHI","HE","CTL",3,1999,"SALPUL","LIVE","LEAF",1,10,NA,1,6.5,"","","110"
"480","QHI","HE","CTL",3,1999,"SALPUL","LIVE","LEAF",2,8,NA,3,3,"","","28"
"510","QHI","HE","CTL",3,1999,"SALPUL","LIVE","LEAF",3,10,NA,1,8,"","","310"
"513","QHI","HE","CTL",3,1999,"SALPUL","LIVE","LEAF",4,1,NA,1,10,"","","41"
"640","QHI","HE","CTL",3,1999,"SALPUL","LIVE","LEAF",9,9,NA,2,2,"","","99"
"667","QHI","HE","CTL",3,1999,"SALPUL","LIVE","LEAF",10,9,NA,1,4.5,"","","109"
"674","QHI","HE","CTL",4,1999,"SALPUL","LIVE","LEAF",1,1,NA,1,6.5,"","","11"
"683","QHI","HE","CTL",4,1999,"SALPUL","LIVE","LEAF",1,4,NA,4,7,"","","14"
"686","QHI","HE","CTL",4,1999,"SALPUL","LIVE","LEAF",1,5,NA,2,5,"","","15"
"706","QHI","HE","CTL",4,1999,"SALPUL","LIVE","LEAF",2,3,NA,1,7,"","","23"
"728","QHI","HE","CTL",4,1999,"SALPUL","LIVE","LEAF",3,2,NA,1,2.5,"","","32"
"734","QHI","HE","CTL",4,1999,"SALPUL","LIVE","LEAF",3,4,NA,4,6,"","","34"
"738","QHI","HE","CTL",4,1999,"SALPUL","LIVE","LEAF",3,5,NA,1,4,"","","35"
"742","QHI","HE","CTL",4,1999,"SALPUL","LIVE","LEAF",3,6,NA,2,5.5,"","","36"
"753","QHI","HE","CTL",4,1999,"SALPUL","LIVE","LEAF",3,9,NA,1,9,"","","39"
"788","QHI","HE","CTL",4,1999,"SALPUL","LIVE","LEAF",5,1,NA,1,4.5,"","","51"
"813","QHI","HE","CTL",4,1999,"SALPUL","LIVE","LEAF",6,1,NA,3,7,"","","61"
"893","QHI","HE","CTL",4,1999,"SALPUL","LIVE","LEAF",9,5,NA,3,0,"","","95"
"898","QHI","HE","CTL",4,1999,"SALPUL","LIVE","LEAF",9,7,NA,1,6,"","","97"
"903","QHI","HE","CTL",4,1999,"SALPUL","LIVE","LEAF",9,9,NA,1,7.5,"","","99"
"911","QHI","HE","CTL",4,1999,"SALPUL","LIVE","LEAF",10,2,NA,1,1.5,"","","102"
"917","QHI","HE","CTL",4,1999,"SALPUL","LIVE","LEAF",10,5,NA,1,0,"","","105"
"921","QHI","HE","CTL",4,1999,"SALPUL","LIVE","LEAF",10,6,NA,1,7.5,"","","106"
"923","QHI","HE","CTL",4,1999,"SALPUL","LIVE","LEAF",10,7,NA,2,0,"","","107"
"931","QHI","HE","CTL",4,1999,"SALPUL","LIVE","LEAF",10,9,NA,2,2,"","","109"
"1031","QHI","HE","CTL",5,1999,"SALPUL","LIVE","LEAF",4,7,NA,1,3.5,"","","47"
"1053","QHI","HE","CTL",5,1999,"SALPUL","LIVE","LEAF",5,6,NA,1,5,"","","56"
"1085","QHI","HE","CTL",5,1999,"SALPUL","LIVE","LEAF",6,8,NA,1,1,"","","68"
"1180","QHI","HE","CTL",6,1999,"SALPUL","LIVE","LEAF",1,2,NA,2,1,"","","12"
"1182","QHI","HE","CTL",6,1999,"SALPUL","LIVE","LEAF",1,3,NA,1,1,"","","13"
"1197","QHI","HE","CTL",6,1999,"SALPUL","LIVE","LEAF",2,1,NA,1,4.5,"","","21"
"1239","QHI","HE","CTL",6,1999,"SALPUL","LIVE","LEAF",3,9,NA,1,5,"","","39"
"1259","QHI","HE","CTL",6,1999,"SALPUL","LIVE","LEAF",4,10,NA,1,2.5,"","","410"
"1286","QHI","HE","CTL",6,1999,"SALPUL","LIVE","LEAF",6,4,NA,2,8.5,"","","64"
"1292","QHI","HE","CTL",6,1999,"SALPUL","LIVE","LEAF",6,6,NA,1,2,"","","66"
"1294","QHI","HE","CTL",6,1999,"SALPUL","LIVE","LEAF",6,7,NA,1,2.5,"","","67"
"1296","QHI","HE","CTL",6,1999,"SALPUL","LIVE","LEAF",6,8,NA,1,5,"","","68"
"1303","QHI","HE","CTL",6,1999,"SALPUL","LIVE","LEAF",7,1,NA,3,5,"","","71"
"1308","QHI","HE","CTL",6,1999,"SALPUL","LIVE","LEAF",7,3,NA,1,0.5,"","","73"
"1318","QHI","HE","CTL",6,1999,"SALPUL","LIVE","LEAF",7,6,NA,2,5,"","","76"
"1321","QHI","HE","CTL",6,1999,"SALPUL","LIVE","LEAF",7,8,NA,2,5.5,"","","78"
"1351","QHI","HE","CTL",6,1999,"SALPUL","LIVE","LEAF",9,2,NA,2,6,"","","92"
"1354","QHI","HE","CTL",6,1999,"SALPUL","LIVE","LEAF",9,3,NA,1,0.5,"","","93"
"1368","QHI","HE","CTL",6,1999,"SALPUL","LIVE","LEAF",9,8,NA,1,6,"","","98"
"1382","QHI","HE","CTL",6,1999,"SALPUL","LIVE","STEM",10,5,NA,2,0,"","","105"
"1385","QHI","HE","CTL",6,1999,"SALPUL","LIVE","LEAF",10,6,NA,2,9,"","","106"
"1422","QHI","HE","CTL",1,2004,"SALPUL","LIVE","LEAF",2,2,NA,1,5.5,"","","22"
"1455","QHI","HE","CTL",1,2004,"SALPUL","LIVE","LEAF",3,6,NA,1,5,"","","36"
"1521","QHI","HE","CTL",1,2004,"SALPUL","LIVE","LEAF",6,2,NA,1,9,"","","62"
"1544","QHI","HE","CTL",1,2004,"SALPUL","LIVE","LEAF",7,2,NA,3,12.5,"","","72"
"1552","QHI","HE","CTL",1,2004,"SALPUL","LIVE","LEAF",7,4,NA,1,9,"","","74"
"1644","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",1,4,NA,1,5,"","","14"
"1648","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",1,6,NA,1,4.5,"","","16"
"1662","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",2,2,NA,1,6.5,"","","22"
"1671","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",2,6,NA,1,3.5,"","","26"
"1678","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",2,8,NA,1,1,"","","28"
"1681","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",2,9,NA,1,1,"","","29"
"1683","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",2,10,NA,1,1.5,"","","210"
"1698","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",3,8,NA,2,3,"","","38"
"1700","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",3,9,NA,3,10,"","","39"
"1703","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",3,10,NA,2,11,"","","310"
"1705","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",4,1,NA,1,7,"","","41"
"1717","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",4,8,NA,1,6.5,"","","48"
"1722","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",4,10,NA,2,5,"","","410"
"1748","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",5,10,NA,1,7.5,"","","510"
"1751","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",6,1,NA,1,6,"","","61"
"1779","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",7,2,NA,1,7,"","","72"
"1802","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",8,2,NA,1,10,"","","82"
"1822","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",8,10,NA,1,11.5,"","","810"
"1829","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",9,3,NA,1,5,"","","93"
"1836","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",9,6,NA,1,5,"","","96"
"1839","QHI","HE","CTL",2,2004,"SALPUL","LIVE","LEAF",9,7,NA,1,10.5,"","","97"
"1878","QHI","HE","CTL",3,2004,"SALPUL","LIVE","LEAF",1,2,NA,1,6.5,"","","12"
"1881","QHI","HE","CTL",3,2004,"SALPUL","LIVE","LEAF",1,3,NA,1,5.5,"","","13"
"1895","QHI","HE","CTL",3,2004,"SALPUL","LIVE","LEAF",1,9,NA,1,2,"","","19"
"1899","QHI","HE","CTL",3,2004,"SALPUL","LIVE","LEAF",2,1,NA,1,4,"","","21"
"1981","QHI","HE","CTL",3,2004,"SALPUL","LIVE","LEAF",6,1,NA,2,7.5,"","","61"
"2007","QHI","HE","CTL",3,2004,"SALPUL","LIVE","LEAF",7,5,NA,1,10.5,"","","75"
"2047","QHI","HE","CTL",3,2004,"SALPUL","LIVE","LEAF",9,3,NA,2,5.5,"","","93"
"2061","QHI","HE","CTL",3,2004,"SALPUL","LIVE","LEAF",9,10,NA,1,4,"","","910"
"2068","QHI","HE","CTL",3,2004,"SALPUL","LIVE","LEAF",10,2,NA,1,7.5,"","","102"
"2071","QHI","HE","CTL",3,2004,"SALPUL","LIVE","LEAF",10,3,NA,1,8,"","","103"
"2114","QHI","HE","CTL",4,2004,"SALPUL","LIVE","LEAF",2,2,NA,1,4.5,"","","22"
"2130","QHI","HE","CTL",4,2004,"SALPUL","LIVE","LEAF",2,9,NA,3,7,"","","29"
"2137","QHI","HE","CTL",4,2004,"SALPUL","LIVE","LEAF",3,2,NA,1,4,"","","32"
"2142","QHI","HE","CTL",4,2004,"SALPUL","LIVE","LEAF",3,4,NA,1,5,"","","34"
"2156","QHI","HE","CTL",4,2004,"SALPUL","LIVE","LEAF",3,10,NA,2,4.5,"","","310"
"2159","QHI","HE","CTL",4,2004,"SALPUL","LIVE","LEAF",4,1,NA,1,4.5,"","","41"
"2164","QHI","HE","CTL",4,2004,"SALPUL","LIVE","LEAF",4,3,NA,1,1.5,"","","43"
"2180","QHI","HE","CTL",4,2004,"SALPUL","LIVE","LEAF",5,1,NA,1,2.5,"","","51"
"2187","QHI","HE","CTL",4,2004,"SALPUL","LIVE","LEAF",5,4,NA,2,3.5,"","","54"
"2209","QHI","HE","CTL",4,2004,"SALPUL","LIVE","LEAF",6,4,NA,1,5,"","","64"
"2214","QHI","HE","CTL",4,2004,"SALPUL","LIVE","LEAF",6,6,NA,1,4,"","","66"
"2216","QHI","HE","CTL",4,2004,"SALPUL","LIVE","LEAF",6,7,NA,1,2.5,"","","67"
"2244","QHI","HE","CTL",4,2004,"SALPUL","LIVE","LEAF",7,8,NA,1,7,"","","78"
"2252","QHI","HE","CTL",4,2004,"SALPUL","LIVE","LEAF",7,10,NA,1,7,"","","710"
"2270","QHI","HE","CTL",4,2004,"SALPUL","LIVE","LEAF",8,8,NA,2,0,"","","88"
"2285","QHI","HE","CTL",4,2004,"SALPUL","LIVE","LEAF",9,3,NA,2,4.5,"","","93"
"2301","QHI","HE","CTL",4,2004,"SALPUL","LIVE","LEAF",9,8,NA,2,4,"","","98"
"2330","QHI","HE","CTL",5,2004,"SALPUL","LIVE","LEAF",1,1,NA,2,3.5,"","","11"
"2350","QHI","HE","CTL",5,2004,"SALPUL","LIVE","LEAF",2,1,NA,1,5,"","","21"
"2368","QHI","HE","CTL",5,2004,"SALPUL","LIVE","LEAF",2,10,NA,3,5.5,"","","210"
"2370","QHI","HE","CTL",5,2004,"SALPUL","LIVE","LEAF",3,1,NA,1,5.5,"","","31"
"2381","QHI","HE","CTL",5,2004,"SALPUL","LIVE","LEAF",3,6,NA,1,0,"","","36"
"2388","QHI","HE","CTL",5,2004,"SALPUL","LIVE","LEAF",3,10,NA,3,5,"","","310"
"2403","QHI","HE","CTL",5,2004,"SALPUL","LIVE","LEAF",4,7,NA,2,4,"","","47"
"2412","QHI","HE","CTL",5,2004,"SALPUL","LIVE","LEAF",5,1,NA,3,5.5,"","","51"
"2416","QHI","HE","CTL",5,2004,"SALPUL","LIVE","LEAF",5,3,NA,1,6.5,"","","53"
"2419","QHI","HE","CTL",5,2004,"SALPUL","LIVE","LEAF",5,4,NA,1,9.5,"","","54"
"2441","QHI","HE","CTL",5,2004,"SALPUL","LIVE","LEAF",6,3,NA,1,7.5,"","","63"
"2444","QHI","HE","CTL",5,2004,"SALPUL","LIVE","LEAF",6,4,NA,1,3.5,"","","64"
"2447","QHI","HE","CTL",5,2004,"SALPUL","LIVE","LEAF",6,5,NA,2,2.5,"","","65"
"2451","QHI","HE","CTL",5,2004,"SALPUL","LIVE","LEAF",6,7,NA,1,8,"","","67"
"2508","QHI","HE","CTL",5,2004,"SALPUL","LIVE","LEAF",9,3,NA,1,4,"","","93"
"2514","QHI","HE","CTL",5,2004,"SALPUL","LIVE","LEAF",9,7,NA,3,6,"","","97"
"2554","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",1,3,NA,1,4,"","","13"
"2558","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",1,4,NA,1,4,"","","14"
"2585","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",2,6,NA,2,9.5,"","","26"
"2591","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",2,8,NA,1,3.5,"","","28"
"2596","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",2,10,NA,3,6.5,"","","210"
"2600","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",3,2,NA,1,10,"","","32"
"2607","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",3,5,NA,1,4,"","","35"
"2609","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",3,6,NA,1,10,"","","36"
"2611","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",3,7,NA,1,5.5,"","","37"
"2614","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",3,9,NA,2,6,"","","39"
"2657","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",6,1,NA,2,11,"","","61"
"2667","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",6,6,NA,1,2,"","","66"
"2676","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",6,10,NA,2,8,"","","610"
"2691","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",7,8,NA,2,3,"","","78"
"2698","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",7,10,NA,1,5,"","","710"
"2704","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",8,2,NA,1,2,"","","82"
"2706","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",8,3,NA,1,9.5,"","","83"
"2721","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",8,9,NA,1,5,"","","89"
"2732","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",9,4,NA,1,8.5,"","","94"
"2736","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",9,5,NA,1,3.5,"","","95"
"2749","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",10,2,NA,1,4,"","","102"
"2751","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",10,3,NA,3,9,"","","103"
"3016","QHI","HE","CTL",1,2009,"SALPUL","LIVE","LEAF",8,7,NA,1,6.9,"","","87"
"3032","QHI","HE","CTL",1,2009,"SALPUL","LIVE","LEAF",9,2,NA,1,8.4,"","","92"
"3050","QHI","HE","CTL",1,2009,"SALPUL","LIVE","LEAF",9,7,NA,3,13.3,"","","97"
"3076","QHI","HE","CTL",1,2009,"SALPUL","LIVE","LEAF",10,4,NA,1,3.4,"","","104"
"3422","QHI","HE","CTL",2,2009,"SALPUL","LIVE","LEAF",10,1,NA,2,6.1,"","","101"
"4638","QHI","HE","CTL",6,2009,"SALPUL","LIVE","LEAF",1,10,NA,1,10.5,"","","110"
"4771","QHI","HE","CTL",6,2009,"SALPUL","LIVE","LEAF",5,5,NA,2,12.6,"","","55"
"4975","QHI","HE","CTL",6,2009,"SALPUL","LIVE","LEAF",10,10,NA,1,2.3,"","","1010"
"9246","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",8,1,NA,1,16.2,"","","81"
"9254","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",10,1,NA,1,16.2,"","","101"
"9287","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",9,2,NA,2,11.1,"","","92"
"9290","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",10,2,NA,1,6.3,"","","102"
"9299","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",3,3,NA,3,16.4,"","","33"
"9306","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",4,3,NA,2,9.1,"","","43"
"9340","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",3,4,NA,2,8.3,"","","34"
"9362","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",10,4,NA,1,13.9,"","","104"
"9368","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",1,5,NA,1,9.2,"","","15"
"9381","QHI","HE","CTL",1,2014,"SALPUL","STANDINGDEAD","LEAF",5,5,NA,1,12.8,"","","55"
"9385","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",6,5,NA,2,11.8,"","","65"
"9401","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",10,5,NA,3,14.8,"","","105"
"9421","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",5,6,NA,2,15.9,"","","56"
"9434","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",8,6,NA,5,20,"","","86"
"9469","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",8,7,NA,1,16.2,"","","87"
"9474","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",9,7,NA,1,18.2,"","","97"
"9512","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",8,8,NA,1,20,"","","88"
"9517","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",9,8,NA,2,17.1,"","","98"
"9522","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",10,8,NA,2,21.3,"","","108"
"9556","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",8,9,NA,2,17.2,"","","89"
"9594","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",10,10,NA,2,9.2,"","","1010"
"9603","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",3,1,NA,2,3.8,"","","31"
"9613","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",5,1,NA,2,5,"","","51"
"9618","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",6,1,NA,2,8.5,"","","61"
"9622","QHI","HE","CTL",2,2014,"SALPUL","LIVE","STEM",7,1,NA,1,4.2,"","","71"
"9628","QHI","HE","CTL",2,2014,"SALPUL","LIVE","STEM",8,1,NA,1,7.1,"","","81"
"9633","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",9,1,NA,4,11.4,"","","91"
"9666","QHI","HE","CTL",2,2014,"SALPUL","LIVE","STEM",5,2,NA,2,5.6,"","","52"
"9671","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",6,2,NA,1,8.3,"","","62"
"9693","QHI","HE","CTL",2,2014,"SALPUL","STANDINGDEAD","STEM",10,2,NA,1,7.9,"","","102"
"9699","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",1,3,NA,4,11.3,"","","13"
"9705","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",2,3,NA,2,10,"","","23"
"9711","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",3,3,NA,2,6.9,"","","33"
"9715","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",4,3,NA,1,5.9,"","","43"
"9742","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",2,4,NA,1,14.5,"","","24"
"9745","QHI","HE","CTL",2,2014,"SALPUL","LIVE","STEM",3,4,NA,1,1.8,"","","34"
"9749","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",4,4,NA,3,9,"","","44"
"9778","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",2,5,NA,1,17.1,"","","25"
"9786","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",3,5,NA,1,10.4,"","","35"
"9788","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",4,5,NA,1,13.5,"","","45"
"9792","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",5,5,NA,1,8.6,"","","55"
"9823","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",3,6,NA,1,10.5,"","","36"
"9854","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",3,7,NA,2,14.8,"","","37"
"9877","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",10,7,NA,2,11.5,"","","107"
"9885","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",2,8,NA,3,13.4,"","","28"
"9892","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",3,8,NA,1,11.8,"","","38"
"9912","QHI","HE","CTL",2,2014,"SALPUL","STANDINGDEAD","LEAF",9,8,NA,2,12.4,"","","98"
"9917","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",10,8,NA,2,13.1,"","","108"
"9925","QHI","HE","CTL",2,2014,"SALPUL","LIVE","STEM",1,9,NA,1,7.6,"","","19"
"9928","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",2,9,NA,1,8.2,"","","29"
"9932","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",3,9,NA,1,11.7,"","","39"
"9941","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",5,9,NA,1,7,"","","59"
"9954","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",8,9,NA,2,7.6,"","","89"
"9956","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",9,9,NA,1,18,"","","99"
"9962","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",10,9,NA,1,5.8,"","","109"
"9964","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",1,10,NA,4,15.1,"","","110"
"9967","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",2,10,NA,2,11.6,"","","210"
"9985","QHI","HE","CTL",2,2014,"SALPUL","STANDINGDEAD","STEM",6,10,NA,1,11.4,"","","610"
"9991","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",7,10,NA,1,16,"","","710"
"9998","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",8,10,NA,2,15,"","","810"
"10003","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",9,10,NA,1,7.4,"","","910"
"10011","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",1,1,NA,4,8.3,"","","11"
"10018","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",2,1,NA,1,10.6,"","","21"
"10021","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",3,1,NA,1,13.1,"","","31"
"10045","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",9,1,NA,1,10.4,"","","91"
"10119","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",9,3,NA,3,18.6,"","","93"
"10160","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",8,4,NA,3,10.9,"","","84"
"10203","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",7,5,NA,1,11.5,"","","75"
"10214","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",10,5,NA,1,6,"","","105"
