"","SITE","SUBSITE","TRTMT","PLOT","YEAR","SPP","STATUS","TISSUE","X","Y","Hit.Order","Abundance","Height..cm.","X.1","X.2","unique_coords"
"10238","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",6,6,NA,1,16.7,"","","66"
"10255","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",10,6,NA,2,7.6,"","","106"
"10261","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",1,7,NA,1,5.6,"","","17"
"10283","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",7,7,NA,3,13.2,"","","77"
"10287","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",8,7,NA,2,8.1,"","","87"
"10300","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",10,7,NA,3,8.3,"","","107"
"10327","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",7,8,NA,1,4.8,"","","78"
"10371","QHI","HE","CTL",3,2014,"SALPUL","LIVE","STEM",7,9,NA,1,5.4,"","","79"
"10408","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",7,10,NA,2,12.9,"","","710"
"10412","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",8,10,NA,1,7.1,"","","810"
"10419","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",9,10,NA,2,9.8,"","","910"
"10431","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",1,1,NA,1,18.7,"","","11"
"10439","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",2,1,NA,1,7.4,"","","21"
"10446","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",4,1,NA,2,14.3,"","","41"
"10458","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",6,1,NA,3,9.3,"","","61"
"10488","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",3,2,NA,4,13.1,"","","32"
"10494","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",4,2,NA,1,6.5,"","","42"
"10503","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",6,2,NA,3,9.2,"","","62"
"10524","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",1,3,NA,2,14.3,"","","13"
"10532","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",3,3,NA,1,16.8,"","","33"
"10546","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",7,3,NA,2,19.3,"","","73"
"10555","QHI","HE","CTL",4,2014,"SALPUL","LIVE","STEM",9,3,NA,1,9.2,"","","93"
"10560","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",10,3,NA,1,6.4,"","","103"
"10562","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",1,4,NA,1,9.7,"","","14"
"10568","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",2,4,NA,3,13.6,"","","24"
"10588","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",8,4,NA,2,11.8,"","","84"
"10601","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",10,4,NA,1,7.5,"","","104"
"10607","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",1,5,NA,2,9.2,"","","15"
"10628","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",7,5,NA,2,11.9,"","","75"
"10630","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",8,5,NA,1,13.2,"","","85"
"10643","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",1,6,NA,1,9.7,"","","16"
"10649","QHI","HE","CTL",4,2014,"SALPUL","LIVE","STEM",2,6,NA,1,6,"","","26"
"10665","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",6,6,NA,1,11.3,"","","66"
"10676","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",8,6,NA,1,3.3,"","","86"
"10688","QHI","HE","CTL",4,2014,"SALPUL","LIVE","STEM",1,7,NA,1,9.7,"","","17"
"10697","QHI","HE","CTL",4,2014,"SALPUL","LIVE","STEM",2,7,NA,1,11.4,"","","27"
"10703","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",3,7,NA,4,10.6,"","","37"
"10710","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",6,7,NA,1,6.6,"","","67"
"10717","QHI","HE","CTL",4,2014,"SALPUL","LIVE","STEM",8,7,NA,2,7.7,"","","87"
"10720","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",9,7,NA,1,5.9,"","","97"
"10731","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",2,8,NA,3,7.4,"","","28"
"10734","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",3,8,NA,1,8.1,"","","38"
"10770","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",1,9,NA,2,4.7,"","","19"
"10775","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",2,9,NA,1,9.1,"","","29"
"10779","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",3,9,NA,1,8.9,"","","39"
"10784","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",4,9,NA,1,11.6,"","","49"
"10820","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",2,10,NA,1,8.6,"","","210"
"10823","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",3,10,NA,2,18.4,"","","310"
"10829","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",4,10,NA,1,13.7,"","","410"
"10881","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",7,1,NA,1,10.4,"","","71"
"10894","QHI","HE","CTL",4,2014,"SALPUL","LIVE","STEM",10,1,NA,1,4.5,"","","101"
"10900","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",1,2,NA,3,11.9,"","","12"
"10903","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",2,2,NA,2,10.4,"","","22"
"10911","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",3,2,NA,1,9.2,"","","32"
"10916","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",4,2,NA,1,8.4,"","","42"
"10942","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",1,3,NA,3,12.7,"","","13"
"10956","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",3,3,NA,1,10.7,"","","33"
"10987","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",1,4,NA,4,16.8,"","","14"
"10993","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",2,4,NA,1,17.2,"","","24"
"10998","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",3,4,NA,1,28.2,"","","34"
"11018","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",8,4,NA,1,6.5,"","","84"
"11042","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",4,5,NA,2,11.2,"","","45"
"11049","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",5,5,NA,2,9.9,"","","55"
"11057","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",7,5,NA,2,7.2,"","","75"
"11060","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",8,5,NA,5,4,"","","85"
"11065","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",9,5,NA,2,7.7,"","","95"
"11084","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",5,6,NA,1,9.4,"","","56"
"11087","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",6,6,NA,1,7.6,"","","66"
"11105","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",10,6,NA,1,11.6,"","","106"
"11121","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",5,7,NA,1,7.2,"","","57"
"11125","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",6,7,NA,1,5.1,"","","67"
"11133","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",9,7,NA,1,5.8,"","","97"
"11136","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",10,7,NA,1,7.2,"","","107"
"11171","QHI","HE","CTL",5,2014,"SALPUL","LIVE","STEM",9,8,NA,1,4,"","","98"
"11188","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",3,9,NA,3,10.4,"","","39"
"11224","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",2,10,NA,3,13.4,"","","210"
"11232","QHI","HE","CTL",5,2014,"SALPUL","LIVE","LEAF",3,10,NA,1,10.1,"","","310"
"11279","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",3,1,NA,1,18.5,"","","31"
"11296","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",6,1,NA,1,8.2,"","","61"
"11300","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",7,1,NA,1,5.5,"","","71"
"11304","QHI","HE","CTL",6,2014,"SALPUL","LIVE","STEM",8,1,NA,1,9.1,"","","81"
"11308","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",9,1,NA,3,6.9,"","","91"
"11313","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",10,1,NA,1,10,"","","101"
"11327","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",4,2,NA,3,14.6,"","","42"
"11336","QHI","HE","CTL",6,2014,"SALPUL","LIVE","STEM",6,2,NA,1,9.4,"","","62"
"11345","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",8,2,NA,2,10.1,"","","82"
"11349","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",9,2,NA,1,13.7,"","","92"
"11356","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",10,2,NA,2,9.4,"","","102"
"11359","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",1,3,NA,1,8.3,"","","13"
"11362","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",2,3,NA,2,14.1,"","","23"
"11367","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",3,3,NA,1,5.7,"","","33"
"11391","QHI","HE","CTL",6,2014,"SALPUL","LIVE","STEM",9,3,NA,1,8.4,"","","93"
"11401","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",2,4,NA,1,7.5,"","","24"
"11414","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",5,4,NA,2,9.1,"","","54"
"11433","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",10,4,NA,1,5.3,"","","104"
"11450","QHI","HE","CTL",6,2014,"SALPUL","LIVE","STEM",5,5,NA,1,5.2,"","","55"
"11457","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",6,5,NA,1,14,"","","65"
"11482","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",1,6,NA,1,6.4,"","","16"
"11487","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",2,6,NA,2,9.6,"","","26"
"11495","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",4,6,NA,1,8.4,"","","46"
"11498","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",5,6,NA,2,10.8,"","","56"
"11505","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",6,6,NA,1,7.4,"","","66"
"11510","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",7,6,NA,1,4.9,"","","76"
"11514","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",8,6,NA,1,6.1,"","","86"
"11537","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",4,7,NA,1,14.9,"","","47"
"11542","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",5,7,NA,2,12.6,"","","57"
"11546","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",6,7,NA,1,14.1,"","","67"
"11552","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",7,7,NA,4,9.8,"","","77"
"11558","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",9,7,NA,3,11.7,"","","97"
"11563","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",10,7,NA,3,11.8,"","","107"
"11576","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",3,8,NA,2,12.8,"","","38"
"11580","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",4,8,NA,2,11.9,"","","48"
"11587","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",6,8,NA,2,9.9,"","","68"
"11597","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",9,8,NA,1,16.2,"","","98"
"11612","QHI","HE","CTL",6,2014,"SALPUL","STANDINGDEAD","LEAF",1,9,NA,1,2.5,"","","19"
"11620","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",3,9,NA,1,13.3,"","","39"
"11630","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",5,9,NA,1,8.9,"","","59"
"11644","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",8,9,NA,2,8.7,"","","89"
"11648","QHI","HE","CTL",6,2014,"SALPUL","LIVE","STEM",9,9,NA,1,12.2,"","","99"
"11659","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",1,10,NA,2,8.7,"","","110"
"11668","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",2,10,NA,1,9.4,"","","210"
"11683","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",6,10,NA,2,6.8,"","","610"
"11688","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",7,10,NA,1,12.1,"","","710"
"11696","QHI","HE","CTL",6,2014,"SALPUL","LIVE","LEAF",9,10,NA,2,17,"","","910"
"15695","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","LEAF",8,1,NA,1,17.6,"","","81"
"15699","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","LEAF",9,1,NA,1,15,"","","91"
"15703","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","LEAF",10,1,NA,1,8.9,"","","101"
"15715","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","LEAF",4,2,NA,1,7.4,"","","42"
"15740","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","LEAF",3,3,NA,1,10.2,"","","33"
"15751","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","STEM",5,3,NA,1,7.2,"","","53"
"15770","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","LEAF",10,3,NA,2,10,"","","103"
"15788","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","LEAF",4,4,NA,1,7.1,"","","44"
"15809","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","LEAF",10,4,NA,1,12,"","","104"
"15836","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","LEAF",6,5,NA,3,15.4,"","","65"
"15855","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","STEM",10,5,NA,1,6.4,"","","105"
"15872","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","LEAF",5,6,NA,1,14.3,"","","56"
"15879","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","STEM",6,6,NA,1,11.1,"","","66"
"15882","QHI","HE","CTL",1,2015,"Salix pulchra","STANDINGDEAD","FLOWER",7,6,NA,1,11.8,"","Female","76"
"15887","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","LEAF",8,6,NA,3,15.3,"","","86"
"15910","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","LEAF",5,7,NA,4,18.6,"","","57"
"15919","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","LEAF",7,7,NA,1,15.3,"","","77"
"15925","QHI","HE","CTL",1,2015,"Salix pulchra","STANDINGDEAD","LEAF",8,7,NA,2,19.9,"","","87"
"15930","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","LEAF",9,7,NA,5,22,"","","97"
"15936","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","LEAF",10,7,NA,4,19.2,"","","107"
"15962","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","LEAF",8,8,NA,2,26.5,"","","88"
"15967","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","LEAF",9,8,NA,3,26.6,"","","98"
"15977","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","LEAF",10,8,NA,1,10.4,"","","108"
"16010","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","LEAF",8,9,NA,2,17,"","","89"
"16014","QHI","HE","CTL",1,2015,"Salix pulchra","LIVE","LEAF",9,9,NA,3,19.9,"","","99"
"16061","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",1,1,NA,1,5.4,"","","11"
"16107","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",10,1,NA,1,6.1,"","","101"
"16148","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",1,3,NA,2,13.9,"","","13"
"16159","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",3,3,NA,1,5,"","","33"
"16166","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","STEM",4,3,NA,1,3.4,"","","43"
"16192","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",2,4,NA,3,14.5,"","","24"
"16199","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",3,4,NA,2,8.4,"","","34"
"16201","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",4,4,NA,2,8.4,"","","44"
"16220","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",8,4,NA,1,9.3,"","","84"
"16234","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",2,5,NA,1,20.7,"","Orange rust","25"
"16238","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",3,5,NA,1,8.5,"","","35"
"16247","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",5,5,NA,2,13.6,"","V small","55"
"16271","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",1,6,NA,2,32,"","","16"
"16280","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",3,6,NA,1,7.2,"","","36"
"16284","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",4,6,NA,4,8.6,"","","46"
"16338","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",9,7,NA,2,13.5,"","","97"
"16343","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",10,7,NA,1,11.9,"","","107"
"16347","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",1,8,NA,1,16,"","","18"
"16351","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",2,8,NA,3,17.2,"","","28"
"16374","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",8,8,NA,1,6.4,"","","88"
"16377","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",9,8,NA,1,19.7,"","","98"
"16382","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",10,8,NA,3,11.8,"","","108"
"16388","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",1,9,NA,2,14.2,"","","19"
"16393","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",2,9,NA,1,14.3,"","","29"
"16407","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",5,9,NA,1,14.2,"","","59"
"16412","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",6,9,NA,2,4.7,"","","69"
"16415","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",7,9,NA,2,11.4,"","","79"
"16419","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",8,9,NA,2,7.6,"","","89"
"16431","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",1,10,NA,2,16.7,"","","110"
"16448","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",6,10,NA,1,22.4,"","","610"
"16456","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","STEM",7,10,NA,1,26,"","","710"
"16461","QHI","HE","CTL",2,2015,"Salix pulchra","LIVE","LEAF",8,10,NA,1,13.2,"","","810"
"16475","QHI","HE","CTL",3,2015,"Salix pulchra","LIVE","LEAF",1,1,NA,2,7.4,"","","11"
"16498","QHI","HE","CTL",3,2015,"Salix pulchra","LIVE","LEAF",7,1,NA,1,10,"","","71"
"16505","QHI","HE","CTL",3,2015,"Salix pulchra","LIVE","LEAF",9,1,NA,1,6.9,"5%","","91"
"16512","QHI","HE","CTL",3,2015,"Salix pulchra","LIVE","LEAF",10,1,NA,1,7.2,"","","101"
"16583","QHI","HE","CTL",3,2015,"Salix pulchra","LIVE","STEM",8,3,NA,1,10.3,"","","83"
"16585","QHI","HE","CTL",3,2015,"Salix pulchra","LIVE","LEAF",9,3,NA,4,17.6,"","","93"
"16630","QHI","HE","CTL",3,2015,"Salix pulchra","LIVE","LEAF",9,4,NA,1,16.3,"","","94"
"16672","QHI","HE","CTL",3,2015,"Salix pulchra","LIVE","LEAF",10,5,NA,3,21.8,"","","105"
"16679","QHI","HE","CTL",3,2015,"Salix pulchra","LIVE","LEAF",1,6,NA,1,13.4,"","","16"
"16698","QHI","HE","CTL",3,2015,"Salix pulchra","LIVE","LEAF",6,6,NA,4,21.3,"","","66"
"16741","QHI","HE","CTL",3,2015,"Salix pulchra","LIVE","LEAF",7,7,NA,1,14.7,"","","77"
"16747","QHI","HE","CTL",3,2015,"Salix pulchra","LIVE","LEAF",9,7,NA,3,17.6,"","","97"
"16779","QHI","HE","CTL",3,2015,"Salix pulchra","LIVE","LEAF",7,8,NA,5,17,"","","78"
"16822","QHI","HE","CTL",3,2015,"Salix pulchra","LIVE","LEAF",7,9,NA,2,17.5,"","","79"
"16868","QHI","HE","CTL",3,2015,"Salix pulchra","LIVE","LEAF",7,10,NA,1,15.4,"","","710"
"16874","QHI","HE","CTL",3,2015,"Salix pulchra","LIVE","LEAF",8,10,NA,1,10.7,"","","810"
"16878","QHI","HE","CTL",3,2015,"Salix pulchra","LIVE","LEAF",9,10,NA,1,10.7,"","","910"
"16883","QHI","HE","CTL",3,2015,"Salix pulchra","LIVE","LEAF",10,10,NA,2,7.8,"","","1010"
"16888","QHI","HE","CTL",4,2015,"Salix pulchra","LIVE","LEAF",1,1,NA,1,22.5,"","","11"
"16898","QHI","HE","CTL",4,2015,"Salix pulchra","LIVE","LEAF",2,1,NA,2,14.5,"","","21"
"16902","QHI","HE","CTL",4,2015,"Salix pulchra","LIVE","LEAF",3,1,NA,1,15,"","","31"
"16918","QHI","HE","CTL",4,2015,"Salix pulchra","LIVE","LEAF",6,1,NA,1,11.6,"","With orange rust ","61"
"16929","QHI","HE","CTL",4,2015,"Salix pulchra","LIVE","LEAF",9,1,NA,1,13.2,"","","91"
"16940","QHI","HE","CTL",4,2015,"Salix pulchra","LIVE","LEAF",1,2,NA,1,15,"","","12"
"16949","QHI","HE","CTL",4,2015,"Salix pulchra","LIVE","LEAF",3,2,NA,2,14.6,"","","32"
"16956","QHI","HE","CTL",4,2015,"Salix pulchra","LIVE","STEM",5,2,NA,1,16.7,"","","52"
"16960","QHI","HE","CTL",4,2015,"Salix pulchra","LIVE","LEAF",7,2,NA,1,7.4,"","","72"
"16964","QHI","HE","CTL",4,2015,"Salix pulchra","STANDINGDEAD","STEM",8,2,NA,1,8.5,"","","82"
"16970","QHI","HE","CTL",4,2015,"Salix pulchra","LIVE","LEAF",9,2,NA,1,17,"","","92"
"16992","QHI","HE","CTL",4,2015,"Salix pulchra","LIVE","LEAF",7,3,NA,2,14.9,"","","73"
"17008","QHI","HE","CTL",4,2015,"Salix pulchra","STANDINGDEAD","STEM",10,3,NA,1,9.4,"","","103"
"17032","QHI","HE","CTL",4,2015,"Salix pulchra","LIVE","LEAF",7,4,NA,1,13.4,"","","74"
"17036","QHI","HE","CTL",4,2015,"Salix pulchra","STANDINGDEAD","LEAF",8,4,NA,1,11.9,"","","84"
"17046","QHI","HE","CTL",4,2015,"Salix pulchra","LIVE","LEAF",10,4,NA,1,8.1,"","","104"
"17052","QHI","HE","CTL",4,2015,"Salix pulchra","LIVE","LEAF",1,5,NA,2,9.5,"","","15"
"17056","QHI","HE","CTL",4,2015,"Salix pulchra","LIVE","LEAF",2,5,NA,1,15.7,"","","25"
"17076","QHI","HE","CTL",4,2015,"Salix pulchra","LIVE","LEAF",7,5,NA,1,19.9,"","","75"
"17086","QHI","HE","CTL",4,2015,"Salix pulchra","LIVE","LEAF",10,5,NA,3,11.3,"","","105"
