"Appendix for Berner et al., Biomass allometry for alder, dwarf birch, and willow in boreal and tundra ecosystems of far northeastern Siberia and north-central Alaska",,,,,,,,,,,,
,,,,,,,,,,,,
Description,,,,,,,,,,,,
Physical characteristics of 358 shrubs sampled mid to late summer in 2011-2013 from 33 sites spread between northern Alaska and far northeastern Siberia (Yakutia).,,,,,,,,,,,,
"We sampled a variety of species including Alaskan green alder (A. viridis subsp. crispa), Siberian alder (A. fruticosa), dwarf birch (Betula  nana subsp. exilis and B. nana subsp. divaricata) and a variety of willow (e.g., S. alaxensis, S. glauca, and S. pulchra, and others).",,,,,,,,,,,,
"Measurements include shrub basal diameter (BD), height (H), and stem length (L), as well as stem, branch, new growth (NG; new twigs and leaves), and total aboveground biomass (AGB).",,,,,,,,,,,,
Please contact the noted data contributor for more information or if you wish to use these data in further analyses or publications.  ,,,,,,,,,,,,
,,,,,,,,,,,,
Source,Genus,Species,Region,Ecosystem,Site,BD (cm),Height (cm),Stem length (cm),Stem (g),Branch (g),NewGrowth (g),AGB (g)
H.A.,Alnus,crispus,Alaska,Boreal,WS RIP BURN1,2,145,145,49.22,10.30,13.27,72.79
H.A.,Alnus,crispus,Alaska,Boreal,WS RIP BURN1,3,200,200,183.01,46.01,58.88,287.90
H.A.,Alnus,crispus,Alaska,Boreal,WS RIP BURN1,0.6,51,51,2.27,0.44,1.20,3.91
H.A.,Alnus,crispus,Alaska,Boreal,WS HIGH ELEV BURN1,2.6,380,320,354.51,83.15,55.35,493.01
H.A.,Alnus,crispus,Alaska,Boreal,MMII UNB,4,180,450,1299.15,168.50,103.46,1571.11
H.A.,Alnus,crispus,Alaska,Boreal,HWII UB,5.3,170,413,1906.28,463.04,140.44,2510.27
H.A.,Alnus,crispus,Alaska,Boreal,ELLIOT/APPLEGATE,3.3,160,1.95,87.33,89.08,51.99,231.86
H.A.,Alnus,crispus,Alaska,Boreal,ELLIOT/APPLEGATE,2.44,185,185,130.76,104.57,55.84,293.20
H.A.,Alnus,crispus,Alaska,Boreal,ELLIOT/APPLEGATE,0.33,28,37,0.66,0.00,1.28,1.94
H.A.,Alnus,crispus,Alaska,Boreal,ELLIOT/APPLEGATE,1.2,160,165,29.36,5.17,8.29,42.82
H.A.,Alnus,crispus,Alaska,Boreal,CR10N,0.98,75,80,23.34,2.46,6.31,32.11
H.A.,Alnus,crispus,Alaska,Boreal,CR10N,0.79,90,91,16.77,3.22,7.61,27.60
H.A.,Alnus,crispus,Alaska,Boreal,CR10PP,0.65,70,74,0.00,0.00,6.45,6.45
H.A.,Alnus,crispus,Alaska,Boreal,CR10S,1,29,31,1.47,0.00,6.10,7.57
H.A.,Alnus,crispus,Alaska,Boreal,CR10S,0.49,43,45.5,0.58,0.00,2.87,3.45
H.A.,Alnus,crispus,Alaska,Boreal,CR10S,1.94,160,152,49.70,56.30,75.73,182.16
H.A.,Alnus,crispus,Alaska,Boreal,CR10S,1.37,155,165,38.01,14.43,27.77,80.21
H.A.,Alnus,crispus,Alaska,Boreal,CR10S,1.15,110,110,14.46,0.00,10.58,25.04
H.A.,Alnus,crispus,Alaska,Boreal,ELLIOT HWY,1.86,175,177,59.31,15.72,43.80,122.23
H.A.,Alnus,crispus,Alaska,Boreal,ELLIOT HWY,1.4,149,140,22.41,2.73,24.24,49.38
H.A.,Alnus,crispus,Alaska,Boreal,ELLIOT HWY,1.43,185,180,46.12,5.02,31.89,83.03
H.A.,Alnus,crispus,Alaska,Boreal,ELLIOT HWY,0.5,85,85,0.00,0.00,5.20,5.20
H.A.,Alnus,crispus,Alaska,Boreal,ELLIOT HWY,1.21,95,110,15.25,13.93,41.60,71.11
H.A.,Alnus,crispus,Alaska,Boreal,CAMPUS,1.52,160,175,48.76,9.07,31.55,90.13
H.A.,Alnus,crispus,Alaska,Boreal,CAMPUS,0.4,58,48,1.66,0.00,1.35,3.01
H.A.,Alnus,crispus,Alaska,Boreal,CAMPUS,1.59,210,190,56.69,5.99,36.63,99.53
H.A.,Alnus,crispus,Alaska,Boreal,CAMPUS,0.31,11,11.5,0.00,0.00,0.60,0.60
H.A.,Alnus,crispus,Alaska,Boreal,CAMPUS,0.26,16,17,0.00,0.00,0.73,0.73
H.A.,Alnus,crispus,Alaska,Boreal,CAMPUS,0.75,108,100,6.73,0.00,4.33,11.06
H.A.,Alnus,crispus,Alaska,Boreal,CAMPUS,1.24,165,160,28.89,5.51,8.25,43.03
H.A.,Alnus,crispus,Alaska,Boreal,ARCTIC CIRCLE,1.5,75,67,11.80,1.17,6.37,19.33
H.A.,Alnus,crispus,Alaska,Boreal,ARCTIC CIRCLE,0.81,75,69,5.71,0.71,3.21,9.77
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,Y4,2.3,171,175,105.90,72.00,26.50,206.00
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,Y4,4.55,292,303,450.30,391.04,81.75,997.73
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,Y4,2.99,216,248,242.40,128.93,42.00,383.43
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,Y4,1.85,165,174,70.40,39.30,27.80,143.00
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,Y4,0.29,9,11,0.82,0.10,0.10,1.02
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,Y4,0.64,15,16,2.70,0.15,0.70,3.55
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,Y4,0.9,56,56,13.30,0.90,3.00,17.20
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,Y4,2.08,225,232,152.20,50.50,32.30,237.00
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,Y4,2.02,219,222,147.80,44.70,28.10,222.90
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,Y4,2.75,247,278,293.60,175.00,75.00,547.50
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,Y4,3.63,251,254,427.80,437.70,102.90,1002.40
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,Y4,7.6,441,450,3458.40,1731.55,259.95,5474.24
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,NES,9.52,461,475,4728.76,4555.29,529.25,9867.55
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,NES,7.22,398,406,2784.78,1811.19,168.30,4764.67
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,NES,0.18,3,3,0.03,0.00,0.02,0.05
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,NES,0.31,6,6.18,0.08,0.03,0.14,0.25
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,NES,0.26,5,4,0.05,0.04,0.16,0.25
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,NES,0.2,7,7,0.07,0.00,0.12,0.18
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,NES,0.22,3,4,0.05,0.00,0.10,0.15
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,NES,0.56,44,47,1.84,0.38,1.29,3.52
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,NES,0.7,37,38,1.08,0.77,2.23,4.08
L.B.,Alnus,fruticosa Rupr.,Yakutia,Boreal,NES,1.08,44,48,6.91,3.93,7.09,17.94
L.B.,Betula,unknown,Yakutia,Boreal,ROD,0.65,44,60,4.70,1.20,2.40,8.40
L.B.,Betula,unknown,Yakutia,Boreal,ROD,0.64,49,64,5.20,0.40,1.20,6.80
L.B.,Betula,unknown,Yakutia,Boreal,ROD,0.61,39,55,5.70,1.20,3.00,9.90
L.B.,Betula,unknown,Yakutia,Boreal,ROD,1.08,53,69,15.90,5.60,4.90,26.40
L.B.,Betula,unknown,Yakutia,Boreal,ROD,1.06,41,50,11.20,4.90,4.40,20.70
L.B.,Betula,unknown,Yakutia,Boreal,ROD,0.89,25,51,7.50,6.20,3.80,17.50
L.B.,Betula,unknown,Yakutia,Boreal,ROD,2.53,109,,200.00,266.79,55.00,521.79
L.B.,Betula,unknown,Yakutia,Boreal,ROD,2.3,123,,84.10,147.20,29.40,260.70
L.B.,Betula,unknown,Yakutia,Boreal,ROD,1.95,107,,74.40,78.70,16.00,169.10
L.B.,Betula,unknown,Yakutia,Boreal,NES,1.38,70,73,53.60,42.70,10.10,106.50
L.B.,Betula,unknown,Yakutia,Boreal,NES,0.9,75,82,13.40,3.10,5.70,22.20
L.B.,Betula,unknown,Yakutia,Boreal,NES,0.52,40,46,2.90,0.90,2.10,5.90
L.B.,Betula,unknown,Yakutia,Boreal,NES,1.1,99,121,33.60,11.10,7.90,52.60
L.B.,Betula,unknown,Yakutia,Boreal,NES,0.91,41,65,14.00,7.80,2.60,24.40
L.B.,Betula,unknown,Yakutia,Boreal,NES,0.61,59,75,4.30,0.00,1.80,6.10
L.B.,Betula,unknown,Yakutia,Boreal,NES,1.15,119,133,35.30,4.50,6.90,47.00
L.B.,Betula,unknown,Yakutia,Boreal,NES,1.34,134,152,61.20,30.30,14.10,105.70
L.B.,Betula,unknown,Yakutia,Boreal,NES,0.38,32,47,1.70,0.00,0.70,2.40
L.B.,Betula,unknown,Yakutia,Boreal,PPK,0.09,7,8,0.02,0.00,0.01,0.04
L.B.,Betula,unknown,Yakutia,Boreal,PPK,0.1,7,8,0.03,0.00,0.02,0.04
L.B.,Betula,unknown,Yakutia,Boreal,PPK,0.17,12,12,0.08,0.00,0.04,0.13
L.B.,Betula,unknown,Yakutia,Boreal,PPK,0.15,13,15,0.09,0.00,0.05,0.13
L.B.,Betula,unknown,Yakutia,Boreal,PPK,0.19,19,20,0.17,0.01,0.10,0.27
L.B.,Betula,unknown,Yakutia,Boreal,PPK,0.27,20,21,0.30,0.00,0.23,0.53
L.B.,Betula,unknown,Yakutia,Boreal,PPK,0.28,27,30,0.50,0.07,0.23,0.80
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,TUN,0.65,,35,2.98,3.89,1.26,8.13
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,TUN,0.44,,32,1.28,0.96,0.62,2.86
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,TUN,0.63,,32,1.66,2.73,0.90,5.29
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,TUN,0.59,,33,1.85,3.34,1.20,6.39
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,TUN,0.42,,22,0.91,0.81,0.38,2.10
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,TUN,0.5,,38,1.72,0.94,0.58,3.24
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,TUN,0.38,,20,0.57,0.88,0.63,2.08
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,TUN,0.55,,40,2.82,1.38,1.35,5.55
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,TUN,0.75,,37,2.87,4.17,1.38,8.42
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,TUN,0.42,,35,1.90,0.89,0.59,3.38
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,TUN,0.46,,54,2.83,3.03,1.55,7.41
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,TUN,0.49,,37,2.06,3.10,1.10,6.26
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,SUH,0.28,,26,0.51,0.26,0.28,1.05
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,SUH,0.43,,29,1.16,1.96,0.81,3.93
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,SUH,0.42,,29,1.26,1.22,0.44,2.92
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,SUH,0.25,,23,0.48,0.18,0.22,0.88
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,SUH,0.39,,28,1.58,0.45,0.21,2.24
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,SUH,0.42,,26,0.90,0.66,0.60,2.16
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,SUH,0.35,,44,1.82,0.90,0.68,3.40
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,SUH,0.51,,28,2.53,2.36,0.83,5.72
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,SUH,0.4,,31,1.32,1.57,0.47,3.36
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,SUH,0.48,,30,2.54,2.10,1.01,5.65
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,SUH,0.33,,32,0.99,0.42,0.37,1.78
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,SUH,0.4,,21,0.68,0.39,0.23,1.30
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,SUH,0.49,,35,2.21,2.14,0.81,5.16
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,SUH,0.46,,24,1.36,1.05,0.78,3.19
L.B.,Betula,nana subsp. exilis,Yakutia,Tundra,SUH,0.41,,20,1.13,0.83,0.72,2.68
H.A.,Salix,unknown,Alaska,Boreal,WS HIGH ELEV BURN1,3.5,200,250,246.10,142.05,123.30,511.45
H.A.,Salix,unknown,Alaska,Boreal,WS HIGH ELEV BURN1,3.9,150,150,271.64,90.30,42.63,405.73
H.A.,Salix,unknown,Alaska,Boreal,WS HIGH ELEV BURN1,2.6,220,260,204.28,61.19,75.67,341.14
H.A.,Salix,unknown,Alaska,Boreal,WS RIP UNB1,0.65,95,95,4.76,8.02,2.25,15.03
H.A.,Salix,unknown,Alaska,Boreal,MIX UNB1,2,170,175,151.64,65.24,,216.88
H.A.,Salix,unknown,Alaska,Boreal,MIX UNB1,1.2,124,127,25.06,4.82,5.60,35.48
H.A.,Salix,unknown,Alaska,Boreal,MIX BURN1,0.5,40,40,0.06,0.00,1.50,1.56
H.A.,Salix,unknown,Alaska,Boreal,MIX BURN1,0.45,30,30,0.35,0.00,0.96,1.31
H.A.,Salix,unknown,Alaska,Boreal,MIX BURN1,0.3,24,24,0.00,0.00,0.17,0.17
H.A.,Salix,unknown,Alaska,Boreal,AG10N,0.89,65,120,8.70,0.00,10.91,19.96
H.A.,Salix,unknown,Alaska,Boreal,AG10N,0.18,4,4,0.00,0.00,0.08,0.08
H.A.,Salix,unknown,Alaska,Boreal,AG10PD,3.31,,290,375.91,53.98,92.53,522.42
H.A.,Salix,unknown,Alaska,Boreal,CR10N,0.26,20,18.5,0.00,0.00,0.67,0.67
H.A.,Salix,unknown,Alaska,Boreal,CR10N,0.11,14,14,0.00,0.00,0.20,0.20
H.A.,Salix,unknown,Alaska,Boreal,CR10N,0.17,15,15.5,0.00,0.00,0.35,0.35
H.A.,Salix,unknown,Alaska,Boreal,CR10N,0.56,55,64,4.25,1.37,5.31,10.93
H.A.,Salix,unknown,Alaska,Boreal,CR10N,0.9,130,140,21.78,4.58,8.30,34.66
H.A.,Salix,unknown,Alaska,Boreal,CR10S,0.54,55,80,2.75,2.15,8.70,13.60
H.A.,Salix,unknown,Alaska,Boreal,ELLIOT HWY,3.6,371,390,941.77,180.67,183.26,1361.52
H.A.,Salix,unknown,Alaska,Boreal,ELLIOT HWY,1.36,145,170,39.78,0.00,20.89,60.67
H.A.,Salix,unknown,Alaska,Boreal,CAMPUS,1.52,212,195,53.10,4.79,15.71,74.35
H.A.,Salix,unknown,Alaska,Boreal,CAMPUS,0.94,115,115,10.41,0.00,4.57,15.41
H.A.,Salix,unknown,Alaska,Boreal,CAMPUS,2.15,323,300,183.58,0.00,65.81,250.46
H.A.,Salix,unknown,Alaska,Boreal,NR,0.37,41,39,0.00,0.00,1.39,1.39
H.A.,Salix,unknown,Alaska,Boreal,NR,0.71,77,80,4.04,1.12,2.98,8.14
H.A.,Salix,unknown,Alaska,Boreal,NR,0.62,60,61,2.63,0.00,0.00,4.23
H.A.,Salix,unknown,Alaska,Boreal,ELLIOT HWY,0.47,65,68,1.92,0.00,2.09,4.16
H.A.,Salix,unknown,Alaska,Boreal,ELLIOT HWY,1.08,75,73,12.67,2.95,10.82,26.45
H.A.,Salix,unknown,Alaska,Boreal,ELLIOT HWY,0.98,65,53,7.36,1.36,6.25,14.97
H.A.,Salix,unknown,Alaska,Boreal,ELLIOT HWY,0.78,75,81,7.28,3.12,18.01,29.24
H.A.,Salix,unknown,Alaska,Boreal,ELLIOT HWY,0.91,60,93,15.84,1.51,9.72,28.37
H.A.,Salix,unknown,Alaska,Boreal,ELLIOT HWY,1.6,140,162,96.98,33.80,39.66,184.04
H.A.,Salix,unknown,Alaska,Boreal,ARCTIC CIRCLE,1.28,133,121,31.08,6.52,12.93,52.50
H.A.,Salix,unknown,Alaska,Boreal,ARCTIC CIRCLE,1.75,125,124,43.92,6.64,14.73,66.88
H.A.,Salix,unknown,Alaska,Boreal,ARCTIC CIRCLE,1.09,100,107.5,18.77,4.97,15.29,42.61
H.A.,Salix,unknown,Alaska,Boreal,ARCTIC CIRCLE,1.24,98,98,18.80,14.59,12.42,47.70
H.A.,Salix,unknown,Alaska,Boreal,ARCTIC CIRCLE,0.95,84,77.5,11.95,3.80,6.72,23.04
H.A.,Salix,unknown,Alaska,Boreal,HOT SPOT,0.35,25,27,0.80,0.59,1.38,2.77
H.A.,Salix,unknown,Alaska,Boreal,HOT SPOT,1.22,90,90,24.32,18.37,11.36,55.89
L.B.,Salix,unknown,Yakutia,Boreal,NES,2.044,190,193,154.60,107.80,20.10,283.70
L.B.,Salix,unknown,Yakutia,Boreal,NES,0.98,97,106,15.40,1.80,1.60,18.80
L.B.,Salix,unknown,Yakutia,Boreal,NES,1.15,115,119,26.30,2.80,2.80,31.90
L.B.,Salix,unknown,Yakutia,Boreal,NES,0.64,126,154,7.40,0.60,1.20,9.20
L.B.,Salix,unknown,Yakutia,Boreal,NES,3.2,305,327,602.67,190.50,58.23,854.16
L.B.,Salix,unknown,Yakutia,Boreal,NES,0.74,58,61,8.30,4.30,3.20,16.00
L.B.,Salix,unknown,Yakutia,Boreal,NES,1.09,99,108,30.20,8.70,3.00,42.20
L.B.,Salix,unknown,Yakutia,Boreal,NES,4.25,310,341,859.77,230.27,73.62,1163.66
L.B.,Salix,unknown,Yakutia,Boreal,NES,3.72,337,324,886.76,423.38,63.90,1374.98
L.B.,Salix,unknown,Yakutia,Boreal,NES,3.71,376,405,586.00,87.50,28.41,703.65
L.B.,Salix,unknown,Yakutia,Boreal,NES,2.28,223,226,222.80,78.40,40.89,344.57
